,Accession,Protein,Organism_Name,Species,Genotype,Isolate,Length,Geo_Location,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
549,ASJ77994.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C318062R11187724(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
550,ASJ78009.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C318062R21571016(48w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
551,ASJ78017.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C318521R11312448(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
552,ASJ78025.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C318521R21620708(52w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
553,ASJ78033.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C340223R11176258(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
554,ASJ78041.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C340223R21560434(48w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
555,ASJ78049.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C340223R31892668(99w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
556,ASJ78057.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C341786R11102479NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
557,ASJ78065.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C383414R11313345(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
558,ASJ78073.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C383414R21621479(44w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
559,ASJ78081.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C394530R21527758(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
560,ASJ78089.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C394530R31860341(44w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
561,ASJ78097.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C394530R42211196(95w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2011,2017-07-11,dsDNA
562,ASJ78105.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C394960R11057090P(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
563,ASJ78113.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C394960R31902098P(126w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
564,ASJ78121.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C395529R11133216(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
565,ASJ78129.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C395529R21521078(48w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
566,ASJ78137.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C397197R11155259P(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
567,ASJ78145.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C397197R31876201P(100w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
568,ASJ78153.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C399098R11197862NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
569,ASJ78161.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C399369R11057132(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
570,ASJ78169.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C399369R21417486(55w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
571,ASJ78177.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C405006R11089716(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
572,ASJ78185.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C405006R31787475(88w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
573,ASJ78193.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C405006R42141816(136w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2011,2017-07-11,dsDNA
574,ASJ78201.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C407219R11124384NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
575,ASJ78209.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C407612R11084406(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
576,ASJ78217.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C407612R21443102(54w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
577,ASJ78225.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C407612R31783136(72w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
578,ASJ78233.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C412607R11241497(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
579,ASJ78241.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C412607R21595957(56w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
580,ASJ78249.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C419359R11349915(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
581,ASJ78257.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C419359R21654666(47w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
582,ASJ78265.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C420170R21622210(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
583,ASJ78273.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C420170R31951041(51w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
584,ASJ78281.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C421894R21540609(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
585,ASJ78289.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C421894R31868992(49w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
586,ASJ78297.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C422613R11081742NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
587,ASJ78305.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C425046R11388626(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
588,ASJ78313.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C425046R21678154(54w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
589,ASJ78321.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C426841R11189396NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
590,ASJ78329.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C429150R11310091(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
591,ASJ78337.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C429150R21614360(64w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
592,ASJ78345.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C432973R11329575(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
593,ASJ78353.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C432973R21637551(49w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
594,ASJ78361.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C434583R11209155(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
595,ASJ78369.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C434583R31923327(110w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
596,ASJ78377.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C442714R21417774(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
597,ASJ78385.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C442714R31754697(51w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
598,ASJ78393.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C442714R42107953(100w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2011,2017-07-11,dsDNA
599,ASJ78401.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C444086R11057559(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
600,ASJ78409.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C444086R21417785(48w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
601,ASJ78417.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C444086R31754706(98w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
602,ASJ78425.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C447441R11388869NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
603,ASJ78433.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C455108R11342542NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
604,ASJ78441.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C459426R11384473NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
605,ASJ78449.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C468419R11069374(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
606,ASJ78457.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C468419R21428171(47w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
607,ASJ78465.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C471015R11161069(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
608,ASJ78473.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C471015R21536729(50w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
609,ASJ78481.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C484604R11164343NP,531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
610,ASJ78489.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C502873R11041961(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
611,ASJ78497.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C502873R21405573(8w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
612,ASJ78505.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C507461R11179061(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
613,ASJ78513.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C507461R21553998(54w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
614,ASJ78521.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C515059R11323811(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
615,ASJ78529.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C515059R21618546(47w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
616,ASJ78537.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C515059R31959320(99w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
617,ASJ78545.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C521400R11204168(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
618,ASJ78553.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C521400R21576025(51w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
619,ASJ78561.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C545351R11399993(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
620,ASJ78569.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C545351R31990611(91w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
621,ASJ78577.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C553929R11382056(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
622,ASJ78585.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C553929R21657511(47w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
623,ASJ78593.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C560323R11076275(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
624,ASJ78601.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C560323R21441298(46w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
625,ASJ78609.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C567069R11135565(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
626,ASJ78617.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C567069R21513953(45w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
627,ASJ78625.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C569383R11325021(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
628,ASJ78633.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C569383R21619516(46w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
629,ASJ78641.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C569383R31960176(96w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
630,ASJ78649.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C591514R11073142(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
631,ASJ78657.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C591514R21433981(49w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
632,ASJ78665.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C591514R42116400(148w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2011,2017-07-11,dsDNA
633,ASJ78673.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C602332R11098725(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
634,ASJ78681.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C602332R21451195(49w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
635,ASJ78689.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C618909R21643609(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
636,ASJ78697.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C618909R31981031(52w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
637,ASJ78705.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C619291R11095511(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
638,ASJ78713.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C619291R21455173(50w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
639,ASJ78721.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C622705R11242396(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
640,ASJ78729.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C622705R21596665(51w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
641,ASJ78737.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C649348R11384583P(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
642,ASJ78745.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C649438R32001687P(141w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2010,2017-07-11,dsDNA
643,ASJ78753.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C653860R11350921(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
644,ASJ78761.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C653860R21655560(40w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
645,ASJ78769.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C672821R11389532(0w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2008,2017-07-11,dsDNA
646,ASJ78777.1,L1,Human papillomavirus type 16,Alphapapillomavirus 9,,C672821R21678793(51w),531,Netherlands,Homo sapiens,,"van der Weele,P., Meijer,C.J.L.M., King,A.J.",2009,2017-07-11,dsDNA
649,ANY26451.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN01,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
650,ANY26452.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN02,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
651,ANY26453.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN03,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
652,ANY26454.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN04,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
653,ANY26455.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN05,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
654,ANY26456.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN06,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
655,ANY26457.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN07,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
656,ANY26458.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN08,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
657,ANY26459.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN09,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
658,ANY26460.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN10,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
659,ANY26461.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN11,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
660,ANY26462.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN12,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
661,ANY26463.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN13,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
662,ANY26464.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN14,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
663,ANY26465.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN15,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
664,ANY26466.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN16,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
665,ANY26467.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN17,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
666,ANY26468.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN18,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
667,ANY26469.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN19,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
668,ANY26470.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN20,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
669,ANY26471.1,major capsid protein L1,Human papillomavirus type 16,Alphapapillomavirus 9,,16CN21,531,China,Homo sapiens,cervix,"Cao,M., Chenzhang,Y., Ding,X., Zhang,Y., JIng,Y., Chen,Z.",2015-09-30,2016-08-07,dsDNA
